Home Assistant notifications (Log started: 2020-03-14T10:59:41.461069+00:00)
--------------------------------------------------------------------------------
test
test2
test2
privet
pdfg
1234
12 34
1 23 45
M 24.0 26.0
M 24 26
M 24 26
M M 24 26
M M 24 26
M A 24 26
M A 24 18
M A 24 36 14.03.2020-18:34:24
M A 24 36 14.03.2020-18:36:22
M F 20 16 14.03.2020-18:39:30
M F 64 64 14.03.2020-18:39:55
M F 20 16 14.03.2020-18:40:30
M F 16 16 14.03.2020-18:44:38
M F 64 64 14.03.2020-18:45:01
M F 16 16 14.03.2020-18:45:19
M A 16 16 14.03.2020-18:45:57
M F 16 16 14.03.2020-18:47:02
M F 18 16 14.03.2020-18:48:03
M F 18 16 14.03.2020-19:16:58
M F 64 16 14.03.2020-21:11:03
M F 20 16 14.03.2020-21:11:20
M F 20 20 14.03.2020-21:17:19
M F 18 16 14.03.2020-21:17:42
M F 19 16 14.03.2020-21:18:58
M A 19 16 14.03.2020-22:56:56
M F 19 16 14.03.2020-22:58:28
M A 19 16 14.03.2020-22:58:52
M F 19 16 14.03.2020-23:01:16
M S 19 16 14.03.2020-23:01:43
M F 19 16 14.03.2020-23:01:58
M A 19 16 14.03.2020-23:02:19
M F 18 16 15.03.2020-06:54:53
M F 20 20 15.03.2020-10:19:57
